"Txhash","UnixTimestamp","DateTime","From","To","Value","ContractAddress","TokenName","TokenSymbol"
"0xfdb38c8910073fab6be0caac61a6f12d016fc30ebc4197c73ab823f9cfb187c3","1631444634","2021-09-12 11:03:54","0xccf4429db6322d5c611ee964527d42e5d685dd6a","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","250","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC",""
"0xfdb38c8910073fab6be0caac61a6f12d016fc30ebc4197c73ab823f9cfb187c3","1631444634","2021-09-12 11:03:54","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xccf4429db6322d5c611ee964527d42e5d685dd6a","12,474.39798596","0xccf4429db6322d5c611ee964527d42e5d685dd6a","Compound Wrapped BTC","cWBTC",""
"0x35ee73a77ca74b44cb2a81f30daa195ce201911848f96389e80627a61b30e65c","1631444796","2021-09-12 11:06:36","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x0000000000000000000000000000000000000000","19,175,280.059609761724609683","0x3b96d491f067912d18563d56858ba7d6ec67a6fa","Curve USDN Pool yVault","yvCurve-USDN",""
"0x35ee73a77ca74b44cb2a81f30daa195ce201911848f96389e80627a61b30e65c","1631444796","2021-09-12 11:06:36","0x3b96d491f067912d18563d56858ba7d6ec67a6fa","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","20,000,084.993795388047271184","0x4f3e8f405cf5afc05d68142f3783bdfe13811522","Curve.fi USDN/3Crv","usdn3CRV",""
"0x2ca7bdb9a589084da15d9d402924a8b042e372f56c86250225df900c8be07c7b","1631445015","2021-09-12 11:10:15","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xd5bcf53e2c81e1991570f33fa881c49eea570c8d","250","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC",""
"0x2ca7bdb9a589084da15d9d402924a8b042e372f56c86250225df900c8be07c7b","1631445015","2021-09-12 11:10:15","0xd5bcf53e2c81e1991570f33fa881c49eea570c8d","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","248.77494884329911668","0x2fe94ea3d5d4a175184081439753de15aef9d614","Curve.fi oBTC/sbtcCRV","oBTC/sbtcCRV",""
"0x5d822e55c2ffba72bae95276c45cb767342b86332bc5b3a99af9b22387a82450","1631445062","2021-09-12 11:11:02","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","19,173,847.445100411351094423","0x3b96d491f067912d18563d56858ba7d6ec67a6fa","Curve USDN Pool yVault","yvCurve-USDN",""
"0x5d822e55c2ffba72bae95276c45cb767342b86332bc5b3a99af9b22387a82450","1631445062","2021-09-12 11:11:02","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x3b96d491f067912d18563d56858ba7d6ec67a6fa","20,000,084.993795388047271184","0x4f3e8f405cf5afc05d68142f3783bdfe13811522","Curve.fi USDN/3Crv","usdn3CRV",""
"0x92c300644d99b097d59d6be1ba928afd531fd6b30389e6e3e8300c54f79ad0f1","1631445285","2021-09-12 11:14:45","0x82dfdb2ec1aa6003ed4acba663403d7c2127ff67","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","250,000","0x82dfdb2ec1aa6003ed4acba663403d7c2127ff67","akSwap.io","akSwap.io",""
"0x5fc32ad014024034cb8b713ce748c5c1b9ecd1f6cf638f2d08df710d468f0775","1631451050","2021-09-12 12:50:50","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","240.44752839122554673","0xe9dc63083c464d6edccff23444ff3cfc6886f6fb","Curve oBTC Pool yVault","yvCurve-oBTC",""
"0x5fc32ad014024034cb8b713ce748c5c1b9ecd1f6cf638f2d08df710d468f0775","1631451050","2021-09-12 12:50:50","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xe9dc63083c464d6edccff23444ff3cfc6886f6fb","248.77494884329911668","0x2fe94ea3d5d4a175184081439753de15aef9d614","Curve.fi oBTC/sbtcCRV","oBTC/sbtcCRV",""
"0x0595d42238e3b46caced58fd83b744b3732b6d4bbd8a75ceb4bc6a467aa829f5","1631505482","2021-09-13 03:58:02","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","1,000","0x4e15361fd6b4bb609fa63c81a2be19d873717870","Fantom Token","FTM",""
"0x7ad44f4151f4534974e91e2fd34be92ef3e9bffde39dd14ffe55d2850d831f8d","1631506682","2021-09-13 04:18:02","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0.986983192854736828","0x06325440d014e39736583c165c2963ba99faf14e","Curve.fi ETH/stETH","steCRV",""
"0xabbc0c75665544c20fc06789b76710beeab0d4d1dc86a8b7f56f8767736adc3e","1631507005","2021-09-13 04:23:25","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0.919760057600199667","0xdcd90c7f6324cfa40d7169ef80b12031770b4325","Curve stETH Pool yVault","yvCurve-stETH",""
"0xabbc0c75665544c20fc06789b76710beeab0d4d1dc86a8b7f56f8767736adc3e","1631507005","2021-09-13 04:23:25","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xdcd90c7f6324cfa40d7169ef80b12031770b4325","0.986983192854736828","0x06325440d014e39736583c165c2963ba99faf14e","Curve.fi ETH/stETH","steCRV",""
"0xad6b2453232c0b5c0e4ac23002acde7f69b83f1cb2c346bdf55d141ee2d7b38c","1631507475","2021-09-13 04:31:15","0xf5bce5077908a1b7370b9ae04adc565ebd643966","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","1,036.403320999999999999","0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3","Magic Internet Money","MIM",""
